id,created,status,ticket_type,title,pi_name,fundingType,application,hoursLogged,daysOpen
69,1/9/2015 10:27,Closed,HD,Ticket 69,Mollie Chang,Department Funds,ClinPortal,1.045938993,29
70,1/9/2015 11:19,Closed,HD,Ticket 70,Mollie Chang,Department Funds,BioMS,7.606779243,29
71,1/9/2015 11:21,Closed,HD,Ticket 71,Mollie Chang,Department Funds,CPTAC,7.671045912,14
72,1/9/2015 11:23,Closed,HD,Ticket 72,Mollie Chang,Department Funds,BioMS,1.141030748,24
73,1/9/2015 11:23,Closed,HD,Ticket 73,Mollie Chang,Department Funds,BioMS,1.530084787,24
74,1/9/2015 11:25,Closed,HD,Ticket 74,Mollie Chang,Department Funds,ClinPortal,0.768952785,13
75,1/9/2015 11:27,Closed,HD,Ticket 75,Mollie Chang,Department Funds,RPR-ClinPortal,4.95715725,11
76,1/9/2015 11:39,Closed,HD,Ticket 76,Mollie Chang,Department Funds,BioMS,16.91295514,17
77,1/9/2015 14:05,Closed,HD,Ticket 77,Mollie Chang,Department Funds,BioMS,11.22898491,8
78,1/9/2015 14:34,Closed,CWL,Ticket 78,Mollie Chang,Unknown,OpenSpecimen,1.481807565,24
79,1/9/2015 14:59,Closed,HD,Ticket 79,Mollie Chang,Department Funds,BioMS,6.127895792,18
80,1/9/2015 15:05,Closed,HD,Ticket 80,Mollie Chang,Department Funds,RPR-ClinPortal,14.79959793,14
81,1/9/2015 15:29,Closed,HD,Ticket 81,Mollie Chang,Department Funds,RPR-ClinPortal,16.735444,6
82,1/9/2015 16:11,Closed,HD,Ticket 82,Mollie Chang,Department Funds,RPR-ClinPortal,0.400284241,15
83,1/12/2015 9:56,Closed,HD,Ticket 83,Mollie Chang,Department Funds,ClinPortal,5.124346587,1
84,1/12/2015 10:17,Closed,HD,Ticket 84,Mollie Chang,Department Funds,BioMS,16.33774685,16
85,1/12/2015 10:27,Closed,HD,Ticket 85,Mollie Chang,Department Funds,BioMS,9.985286735,6
86,1/12/2015 12:03,Closed,HD,Ticket 86,Mollie Chang,Department Funds,RPR-ClinPortal,12.44924915,2
87,1/12/2015 12:41,Closed,HD,Ticket 87,Mollie Chang,Department Funds,ClinPortal,4.860413307,4
88,1/12/2015 13:48,Closed,HD,Ticket 88,Mollie Chang,Department Funds,BioMS,15.40597403,18
89,1/12/2015 13:51,Closed,HD,Ticket 89,Mollie Chang,Department Funds,ClinPortal,7.771636927,22
90,1/12/2015 14:55,Closed,HD,Ticket 90,Mollie Chang,Department Funds,RPR-ClinPortal,6.547276309,29
91,1/12/2015 15:27,Closed,HD,Ticket 91,Mollie Chang,Department Funds,ClinPortal,2.418653075,25
92,1/12/2015 15:30,Closed,HD,Ticket 92,Mollie Chang,Department Funds,BioMS,5.925087432,15
93,1/12/2015 15:44,Closed,HD,Ticket 93,Mollie Chang,Department Funds,BioMS,12.20033123,29
94,1/12/2015 15:49,Closed,HD,Ticket 94,Mollie Chang,Department Funds,RPR-ClinPortal,11.93292812,5
95,1/12/2015 16:37,Closed,HD,Ticket 95,Mollie Chang,Department Funds,CIDER,4.479841223,5
96,1/12/2015 17:45,Closed,HD,Ticket 96,Mollie Chang,Department Funds,CPTAC,0.791195667,28
97,1/13/2015 9:53,Closed,HD,Ticket 97,Mollie Chang,Department Funds,OpenSpecimen,5.730953645,17
98,1/13/2015 9:56,Closed,HD,Ticket 98,Mollie Chang,Department Funds,BioMS,0.494613525,29
99,1/13/2015 10:19,Closed,HD,Ticket 99,Mollie Chang,Department Funds,BioMS,19.16730422,11
100,1/13/2015 10:53,Closed,HD,Ticket 100,Mollie Chang,Department Funds,BioMS,4.734295527,22
101,1/13/2015 11:00,Closed,HD,Ticket 101,Mollie Chang,Department Funds,CIDER,3.029227268,1
102,1/13/2015 11:43,Closed,HD,Ticket 102,Mollie Chang,Department Funds,BioMS,2.144556812,27
103,1/13/2015 12:35,Closed,HD,Ticket 103,Mollie Chang,Department Funds,BioMS,1.80513153,4
104,1/13/2015 12:49,Closed,HD,Ticket 104,Mollie Chang,Department Funds,BioMS,19.17993203,2
105,1/13/2015 12:51,Closed,HD,Ticket 105,Mollie Chang,Department Funds,BioMS,3.905678399,18
106,1/13/2015 12:59,Closed,HD,Ticket 106,Mollie Chang,Department Funds,CPTAC,8.672630106,8
107,1/13/2015 13:57,Closed,HD,Ticket 107,Mollie Chang,Department Funds,BioMS,2.132551853,29
108,1/13/2015 15:05,Closed,HD,Ticket 108,Mollie Chang,Department Funds,BioMS,5.296607674,16
109,1/13/2015 15:17,Closed,HD,Ticket 109,Mollie Chang,Department Funds,BioMS,3.289316771,26
110,1/13/2015 15:45,Resolved,HD,Ticket 110,Mollie Chang,Department Funds,ClinPortal,6.992647824,14
111,1/13/2015 16:17,Closed,HD,Ticket 111,Mollie Chang,Department Funds,BioMS,9.004523539,11
112,1/13/2015 16:57,Closed,HD,Ticket 112,Mollie Chang,Department Funds,BioMS,9.399827476,3
113,1/13/2015 16:57,Closed,HD,Ticket 113,Mollie Chang,Department Funds,BioMS,15.92989202,20
114,1/13/2015 16:59,Closed,HD,Ticket 114,Mollie Chang,Department Funds,ClinPortal,7.094793486,16
115,1/13/2015 17:15,Closed,HD,Ticket 115,Mollie Chang,Department Funds,BioMS,19.43962303,16
116,1/13/2015 17:25,Closed,HD,Ticket 116,Mollie Chang,Department Funds,BioMS,7.267287403,13
117,1/13/2015 17:35,Closed,HD,Ticket 117,Mollie Chang,Department Funds,CPTAC,13.66724496,10
118,1/13/2015 17:35,Closed,HD,Ticket 118,Mollie Chang,Department Funds,CPTAC,5.269801371,9
119,1/13/2015 17:36,Closed,HD,Ticket 119,Mollie Chang,Department Funds,CPTAC,5.653991574,9
120,1/14/2015 11:39,Closed,HD,Ticket 120,Mollie Chang,Department Funds,RPR-ClinPortal,0.006113717,3
121,1/14/2015 11:47,Closed,HD,Ticket 121,Mollie Chang,Department Funds,RPR-ClinPortal,17.52894332,29
122,1/14/2015 11:47,Resolved,HD,Ticket 122,Mollie Chang,Department Funds,RPR-ClinPortal,12.58419094,16
123,1/14/2015 11:59,Closed,HD,Ticket 123,Mollie Chang,Department Funds,BioMS,4.715611859,1
124,1/14/2015 12:39,Closed,HD,Ticket 124,Mollie Chang,Department Funds,BioMS,18.98699318,4
125,1/14/2015 13:23,Closed,HD,Ticket 125,Mollie Chang,Department Funds,BioMS,10.67174975,27
126,1/14/2015 13:45,Closed,HD,Ticket 126,Mollie Chang,Department Funds,BioMS,3.378542417,22
127,1/14/2015 13:53,Closed,HD,Ticket 127,Mollie Chang,Department Funds,BioMS,9.922024199,25
128,1/14/2015 14:11,Closed,HD,Ticket 128,Mollie Chang,Department Funds,BioMS,8.678315386,12
129,1/14/2015 14:15,Closed,HD,Ticket 129,Mollie Chang,Department Funds,CPTAC,9.396454992,4
130,1/14/2015 14:51,Closed,HD,Ticket 130,Mollie Chang,Department Funds,BioMS,7.816348293,2
131,1/14/2015 15:01,Closed,HD,Ticket 131,Mollie Chang,Department Funds,BioMS,7.508570853,11
132,1/14/2015 16:21,Closed,HD,Ticket 132,Mollie Chang,Department Funds,CPTAC,3.515714251,20
133,1/14/2015 16:41,Closed,HD,Ticket 133,Mollie Chang,Department Funds,CPTAC,11.17136349,7
134,1/14/2015 16:45,Closed,HD,Ticket 134,Mollie Chang,Department Funds,CPTAC,3.590389368,11
135,1/14/2015 16:49,Closed,HD,Ticket 135,Mollie Chang,Department Funds,CPTAC,13.09076278,27
136,1/14/2015 16:51,Closed,HD,Ticket 136,Mollie Chang,Department Funds,BioMS,16.92082058,19
137,1/14/2015 16:59,Closed,HD,Ticket 137,Mollie Chang,Department Funds,CPTAC,15.4809013,3
138,1/14/2015 17:01,Closed,HD,Ticket 138,Mollie Chang,Department Funds,CPTAC,18.87455773,15
139,1/15/2015 9:10,Closed,HD,Ticket 139,Mollie Chang,Department Funds,ClinPortal,0.506317571,23
140,1/15/2015 10:20,Closed,HD,Ticket 140,Mollie Chang,Department Funds,CPTAC,15.30703716,20
141,1/15/2015 10:59,Closed,HD,Ticket 141,Mollie Chang,Department Funds,ClinPortal,2.328148702,27
142,1/15/2015 11:43,Closed,HD,Ticket 142,Mollie Chang,Department Funds,BioMS,8.25427219,13
143,1/15/2015 12:33,Closed,HD,Ticket 143,Mollie Chang,Department Funds,BioMS,16.9080294,7
144,1/15/2015 12:59,Closed,HD,Ticket 144,Mollie Chang,Department Funds,CPTAC,7.781487028,10
145,1/15/2015 13:01,Closed,HD,Ticket 145,Mollie Chang,Department Funds,CPTAC,14.45519837,2
146,1/15/2015 14:13,Closed,HD,Ticket 146,Mollie Chang,Department Funds,CIDER,1.211138663,11
147,1/15/2015 14:26,Closed,HD,Ticket 147,Mollie Chang,Department Funds,BioMS,2.63067327,17
148,1/15/2015 15:21,Closed,HD,Ticket 148,Mollie Chang,Department Funds,RPR-ClinPortal,19.9945598,27
149,1/15/2015 15:53,Closed,HD,Ticket 149,Mollie Chang,Department Funds,BioMS,10.08051521,24
150,1/15/2015 17:01,Closed,HD,Ticket 150,Mollie Chang,Department Funds,CIDER,10.5881105,9
151,1/16/2015 10:14,Closed,HD,Ticket 151,Mollie Chang,Department Funds,CPTAC,16.83944305,8
152,1/16/2015 11:21,Closed,HD,Ticket 152,Mollie Chang,Department Funds,CPTAC,4.880204518,3
153,1/16/2015 11:41,Closed,HD,Ticket 153,Mollie Chang,Department Funds,RPR-ClinPortal,14.02683724,20
154,1/16/2015 12:07,Closed,HD,Ticket 154,Mollie Chang,Department Funds,RPR-ClinPortal,8.920335822,6
155,1/16/2015 13:51,Closed,HD,Ticket 155,Mollie Chang,Department Funds,RPR-ClinPortal,9.89690307,5
156,1/16/2015 14:07,Closed,HD,Ticket 156,Mollie Chang,Department Funds,OpenSpecimen,3.052727386,20
157,1/16/2015 14:45,Closed,HD,Ticket 157,Mollie Chang,Department Funds,BioMS,9.525077817,17
158,1/16/2015 15:03,Closed,HD,Ticket 158,Mollie Chang,Department Funds,CPTAC,13.27193642,28
159,1/16/2015 15:23,Closed,HD,Ticket 159,Mollie Chang,Department Funds,ClinPortal,6.270831575,18
160,1/16/2015 16:31,Closed,HD,Ticket 160,Mollie Chang,Department Funds,BioMS,8.376618754,14
161,1/16/2015 16:39,Closed,HD,Ticket 161,Mollie Chang,Department Funds,CIDER,13.82353182,8
162,1/20/2015 8:36,Closed,HD,Ticket 162,Mollie Chang,Department Funds,OpenSpecimen,1.223640138,4
163,1/20/2015 9:02,Closed,HD,Ticket 163,Mollie Chang,Department Funds,RPR-ClinPortal,18.26442227,0
164,1/20/2015 9:16,Closed,HD,Ticket 164,Mollie Chang,Department Funds,ClinPortal,13.92531948,10
165,1/20/2015 9:22,Closed,HD,Ticket 165,Mollie Chang,Department Funds,BioMS,12.84891061,17
166,1/20/2015 10:13,Closed,HD,Ticket 166,Mollie Chang,Department Funds,BioMS,18.01940286,14
167,1/20/2015 11:17,Closed,HD,Ticket 167,Mollie Chang,Department Funds,BioMS,1.590629769,12
168,1/20/2015 11:21,Closed,HD,Ticket 168,Mollie Chang,Department Funds,ClinPortal,8.680085853,9
169,1/20/2015 11:39,Closed,HD,Ticket 169,Mollie Chang,Department Funds,CPTAC,11.01645196,25
170,1/20/2015 11:57,Closed,HD,Ticket 170,Mollie Chang,Department Funds,ClinPortal,18.16968156,14
171,1/20/2015 13:35,Done,II,Ticket 171,Mollie Chang,Unknown,CIDER,19.23687471,27
172,1/20/2015 13:59,Closed,HD,Ticket 172,Mollie Chang,Department Funds,BioMS,16.07402168,26
173,1/20/2015 14:24,Closed,HD,Ticket 173,Mollie Chang,Department Funds,BioMS,0.766226663,15
174,1/20/2015 14:41,Closed,HD,Ticket 174,Mollie Chang,Department Funds,RPR-ClinPortal,9.053290655,6
175,1/20/2015 14:43,Closed,HD,Ticket 175,Mollie Chang,Department Funds,RPR-ClinPortal,19.6008356,16
176,1/20/2015 14:45,Closed,HD,Ticket 176,Mollie Chang,Department Funds,BioMS,11.20522967,7
177,1/20/2015 14:51,Closed,HD,Ticket 177,Mollie Chang,Department Funds,RPR-ClinPortal,12.3250216,12
178,1/20/2015 15:15,Closed,HD,Ticket 178,Mollie Chang,Department Funds,CPTAC,14.26021853,23
179,1/20/2015 16:13,Closed,HD,Ticket 179,Mollie Chang,Department Funds,CPTAC,1.391369777,22
180,1/20/2015 16:14,Closed,HD,Ticket 180,Mollie Chang,Department Funds,BioMS,0.775735345,21
181,1/20/2015 16:19,Closed,HD,Ticket 181,Mollie Chang,Department Funds,BioMS,11.78009608,21
182,1/20/2015 16:41,Closed,HD,Ticket 182,Mollie Chang,Department Funds,BioMS,17.27137297,19
183,1/21/2015 8:48,Closed,HD,Ticket 183,Mollie Chang,Department Funds,BioMS,15.48545216,24
184,1/21/2015 8:50,Closed,HD,Ticket 184,Mollie Chang,Department Funds,CPTAC,18.8034739,8
185,1/21/2015 9:40,Closed,HD,Ticket 185,Mollie Chang,Department Funds,CPTAC,10.29284956,26
186,1/21/2015 11:43,Closed,HD,Ticket 186,Mollie Chang,Department Funds,BioMS,7.538529241,14
187,1/21/2015 12:20,Closed,HD,Ticket 187,Mollie Chang,Department Funds,OpenSpecimen,15.95488218,4
188,1/21/2015 12:22,Closed,HD,Ticket 188,Mollie Chang,Department Funds,OpenSpecimen,3.695956789,24
189,1/21/2015 13:41,Closed,HD,Ticket 189,Mollie Chang,Department Funds,CPTAC,3.938615846,26
190,1/21/2015 13:51,Closed,HD,Ticket 190,Mollie Chang,Department Funds,BioMS,2.448266344,12
191,1/21/2015 14:01,Closed,HD,Ticket 191,Mollie Chang,Department Funds,BioMS,13.24258581,4
192,1/21/2015 14:23,Closed,HD,Ticket 192,Mollie Chang,Department Funds,CPTAC,7.636397791,15
193,1/21/2015 14:31,Closed,HD,Ticket 193,Mollie Chang,Department Funds,RPR-ClinPortal,1.540516953,14
194,1/21/2015 15:47,Closed,HD,Ticket 194,Mollie Chang,Department Funds,CPTAC,13.39539524,26
195,1/22/2015 9:46,Closed,HD,Ticket 195,Mollie Chang,Department Funds,Other,5.739533479,1
196,1/22/2015 10:16,Closed,HD,Ticket 196,Mollie Chang,Department Funds,BioMS,4.480063283,17
197,1/22/2015 10:50,Closed,HD,Ticket 197,Mollie Chang,Department Funds,BioMS,12.88114222,0
198,1/22/2015 11:47,Closed,HD,Ticket 198,Mollie Chang,Department Funds,CIDER,2.654228958,11
199,1/22/2015 12:15,Closed,HD,Ticket 199,Mollie Chang,Department Funds,BioMS,5.123129764,26
200,1/22/2015 13:21,Closed,HD,Ticket 200,Mollie Chang,Department Funds,BioMS,12.4665456,9
201,1/22/2015 13:47,Closed,HD,Ticket 201,Mollie Chang,Department Funds,BioMS,2.069931266,30
202,1/22/2015 13:59,Closed,HD,Ticket 202,Mollie Chang,Department Funds,BioMS,6.767621101,10
203,1/22/2015 14:07,Closed,HD,Ticket 203,Mollie Chang,Department Funds,BioMS,2.099554352,23
204,1/22/2015 14:07,Closed,HD,Ticket 204,Mollie Chang,Department Funds,CPTAC,8.16160274,10
205,1/22/2015 14:29,Closed,HD,Ticket 205,Mollie Chang,Department Funds,ClinPortal,19.02907846,5
206,1/22/2015 14:29,Closed,HD,Ticket 206,Mollie Chang,Department Funds,ClinPortal,7.346510481,22
207,1/22/2015 14:33,Closed,HD,Ticket 207,Mollie Chang,Department Funds,ClinPortal,16.59269763,9
208,1/22/2015 14:51,Closed,HD,Ticket 208,Mollie Chang,Department Funds,BioMS,3.920706133,20
209,1/22/2015 15:41,Closed,HD,Ticket 209,Mollie Chang,Department Funds,RPR-ClinPortal,4.085971633,20
210,1/22/2015 15:51,Closed,HD,Ticket 210,Mollie Chang,Department Funds,BioMS,2.720126556,21
211,1/22/2015 17:19,Closed,HD,Ticket 211,Mollie Chang,Department Funds,ClinPortal,15.32753921,2
212,1/22/2015 17:41,Closed,HD,Ticket 212,Mollie Chang,Department Funds,CIDER,1.369702294,17
213,1/23/2015 8:16,Closed,HD,Ticket 213,Mollie Chang,Department Funds,ClinPortal,0.431626273,10
214,1/23/2015 8:48,Closed,HD,Ticket 214,Mollie Chang,Department Funds,BioMS,18.22678499,29
215,1/23/2015 8:54,Closed,HD,Ticket 215,Mollie Chang,Department Funds,BioMS,0.37397494,10
216,1/23/2015 9:20,Closed,HD,Ticket 216,Mollie Chang,Department Funds,RPR-ClinPortal,6.378262054,12
217,1/23/2015 9:32,Closed,HD,Ticket 217,Mollie Chang,Department Funds,ClinPortal,17.9419806,1
218,1/23/2015 10:02,Closed,HD,Ticket 218,Mollie Chang,Department Funds,RPR-ClinPortal,6.492128147,8
219,1/23/2015 10:19,Closed,HD,Ticket 219,Mollie Chang,Department Funds,RPR-ClinPortal,0.16591231,26
220,1/23/2015 10:28,Closed,HD,Ticket 220,Mollie Chang,Department Funds,ClinPortal,2.112298642,21
221,1/23/2015 10:30,Closed,HD,Ticket 221,Mollie Chang,Department Funds,ClinPortal,5.497754102,27
222,1/23/2015 12:55,Closed,HD,Ticket 222,Mollie Chang,Department Funds,ClinPortal,14.46258431,5
223,1/23/2015 13:35,Closed,HD,Ticket 223,Mollie Chang,Department Funds,CPTAC,18.66253399,0
224,1/23/2015 14:13,Closed,HD,Ticket 224,Mollie Chang,Department Funds,CPTAC,8.462492099,16
225,1/24/2015 16:37,Closed,HD,Ticket 225,Mollie Chang,Department Funds,ClinPortal,14.68459055,19
226,1/26/2015 7:02,Closed,HD,Ticket 226,Mollie Chang,Department Funds,CIDER,0.714498048,14
227,1/26/2015 10:04,Closed,HD,Ticket 227,Mollie Chang,Department Funds,ClinPortal,11.93959994,20
228,1/26/2015 10:08,Closed,HD,Ticket 228,Mollie Chang,Department Funds,ClinPortal,2.105963697,22
229,1/26/2015 10:32,Closed,HD,Ticket 229,Mollie Chang,Department Funds,BioMS,6.115302929,24
230,1/26/2015 10:42,Closed,HD,Ticket 230,Mollie Chang,Department Funds,CIDER,5.065794798,3
231,1/26/2015 11:32,Closed,HD,Ticket 231,Mollie Chang,Department Funds,ClinPortal,13.57587316,5
232,1/26/2015 11:35,Closed,HD,Ticket 232,Mollie Chang,Department Funds,ClinPortal,2.03459245,6
233,1/26/2015 11:37,Closed,HD,Ticket 233,Mollie Chang,Department Funds,RPR-ClinPortal,4.214483669,4
234,1/26/2015 11:53,Closed,HD,Ticket 234,Mollie Chang,Department Funds,RPR-ClinPortal,3.238150005,30
235,1/26/2015 12:49,Closed,HD,Ticket 235,Mollie Chang,Department Funds,BioMS,2.520909539,19
236,1/26/2015 13:39,Closed,HD,Ticket 236,Mollie Chang,Department Funds,ClinPortal,7.057672563,29
237,1/26/2015 14:16,Closed,HD,Ticket 237,Mollie Chang,Department Funds,BioMS,0.51850786,29
238,1/26/2015 15:55,Closed,HD,Ticket 238,Mollie Chang,Department Funds,RPR-ClinPortal,4.777135754,22
239,1/26/2015 15:55,Closed,HD,Ticket 239,Mollie Chang,Department Funds,BioMS,16.35416214,0
240,1/26/2015 16:15,Closed,HD,Ticket 240,Mollie Chang,Department Funds,BioMS,18.17171562,10
241,1/26/2015 16:17,Closed,HD,Ticket 241,Mollie Chang,Department Funds,BioMS,2.47378239,30
242,1/26/2015 16:23,Closed,HD,Ticket 242,Mollie Chang,Department Funds,BioMS,10.16360756,6
243,1/26/2015 17:39,Done,II,Ticket 243,Mollie Chang,JIT,CIDER,2.097537432,24
244,1/27/2015 8:13,Closed,HD,Ticket 244,Mollie Chang,Department Funds,RPR-ClinPortal,7.959160664,9
245,1/27/2015 8:16,Closed,HD,Ticket 245,Mollie Chang,Department Funds,OpenSpecimen,18.74954259,25
246,1/27/2015 8:25,Closed,HD,Ticket 246,Mollie Chang,Department Funds,RPR-ClinPortal,19.96806608,7
247,1/27/2015 9:46,Closed,HD,Ticket 247,Mollie Chang,Department Funds,ClinPortal,4.138417796,23
248,1/27/2015 9:55,Closed,HD,Ticket 248,Mollie Chang,Department Funds,BioMS,7.098729472,4
249,1/27/2015 10:24,Closed,HD,Ticket 249,Mollie Chang,Department Funds,ClinPortal,7.371817597,30
250,1/27/2015 10:34,Closed,HD,Ticket 250,Mollie Chang,Department Funds,ClinPortal,13.21906408,2
251,1/27/2015 11:20,Closed,HD,Ticket 251,Mollie Chang,Department Funds,OpenSpecimen,11.85388691,26
